Years,Firearmdeaths(People),Homicide(People),Suicide(People),Unintentional(People),Legalintervention(People),Undetermined(People),Under19(People),20-34(People),35-49(People),50-64(People),65+(People),White(People),Black(People),AmericanIndianorAlaskaNative(People),AsianorPacificIslander(People),Hispanic(People),Bylocation,Metro(People),Non-Metro(People),Bygender,Male(People),Female(People),ByState,Alabama(People),Alaska(People),Arizona(People),Arkansas(People),California(People),Colorado(People),Connecticut(People),Delaware(People),DistrictofColumbia(People),Florida(People),Georgia(People),Hawaii(People),Idaho(People),Illinois(People),Indiana(People),Iowa(People),Kansas(People),Kentucky(People),Louisiana(People),Maine(People),Maryland(People),Massachusetts(People),Michigan(People),Minnesota(People),Mississippi(People),Missouri(People),Montana(People),Nebraska(People),Nevada(People),NewHampshire(People),NewJersey(People),NewMexico(People),NewYork(People),NorthCarolina(People),NorthDakota(People),Ohio(People),Oklahoma(People),Oregon(People),Pennsylvania(People),RhodeIsland(People),SouthCarolina(People),SouthDakota(People),Tennessee(People),Texas(People),Utah(People),Vermont(People),Virginia(People),Washington(People),WestVirginia(People),Wisconsin(People),Wyoming(People)
1981,34050,15089,16139,1871,272,679,3615,14667,7213,5144,3377,25237,8324,263,220,,,,,,28343,5707,,824,132,519,419,4010,486,238,62,143,2246,1246,58,148,1478,676,249,322,648,972,111,556,315,1236,271,558,833,139,154,240,97,499,263,1950,1046,51,1366,578,336,1227,49,546,83,908,3416,166,55,833,516,294,388,94
1982,32957,13830,16560,1756,276,535,3360,13670,7124,4974,3799,25071,7415,255,207,,,,,,27517,5440,,820,129,501,424,3740,417,245,49,155,2253,1181,43,137,1209,647,231,313,670,1053,92,534,273,1199,295,547,770,121,125,273,91,484,300,1773,1051,55,1220,620,341,1195,50,566,77,898,3430,190,68,834,449,293,417,109
1983,31099,12040,16600,1695,257,507,2981,12691,6645,4802,3949,24038,6589,237,232,,,,,,25945,5154,,710,133,472,424,3583,483,227,42,123,1925,988,45,151,1285,613,225,293,620,1014,103,538,261,1239,290,511,746,125,138,221,68,407,236,1778,945,62,1054,549,354,1018,44,501,74,862,3306,168,55,798,514,271,411,96
1984,31331,11815,17113,1668,253,482,3057,12470,6818,4736,4217,24419,6449,220,237,,,,,,26229,5102,,750,118,522,413,3744,465,205,46,112,2087,1115,52,122,1254,667,252,272,635,929,109,515,273,1298,269,521,735,133,143,235,73,452,249,1576,972,59,1112,526,359,1131,39,528,62,850,3095,176,65,805,430,276,404,101
1985,31566,11836,17363,1649,242,476,3192,12430,6836,4638,4443,24507,6565,243,248,,,,,,26382,5184,,743,136,550,418,3831,474,211,45,107,2066,1080,50,127,1201,643,250,273,582,873,121,508,265,1323,279,507,776,135,153,209,86,418,269,1571,996,65,1127,560,331,1147,39,540,73,809,3272,164,59,811,495,264,439,95
1986,33373,13029,18153,1452,247,492,3373,13402,7154,4638,4758,25339,7494,244,292,,,,,,28084,5289,,812,135,616,423,4111,509,234,72,129,2145,1189,59,151,1271,629,242,314,622,1024,86,550,267,1414,341,540,815,155,164,218,97,419,316,1771,978,50,1097,573,389,1122,56,524,80,918,3358,190,61,877,455,306,401,98
1987,32895,12657,18136,1440,257,405,3416,12887,7121,4524,4909,24789,7586,217,292,,,,,,27569,5326,,749,104,647,449,3995,430,235,70,142,2253,1285,66,154,1169,684,235,298,612,909,113,590,250,1376,310,542,838,137,155,210,91,398,306,1908,975,60,1061,536,349,1173,68,561,74,892,2946,194,71,888,528,289,458,62
1988,33989,13645,18169,1501,232,442,3991,13417,7307,4343,4880,24892,8475,266,350,,,,,,28674,5315,,801,99,674,458,4174,462,275,51,242,2525,1244,46,171,1340,686,210,272,571,919,132,621,254,1353,292,487,804,122,137,256,103,413,319,2131,1016,55,1074,489,377,1162,52,515,64,961,3110,169,70,872,576,251,458,74
1989,34776,14464,18178,1489,305,340,4413,13656,7505,4314,4852,25023,9077,278,389,,,,,,29596,5180,,801,133,666,416,4434,399,278,83,290,2424,1299,59,144,1247,648,213,286,562,937,138,685,291,1325,341,515,768,130,134,253,85,463,286,2257,1162,52,1137,489,399,1266,62,587,72,928,3081,172,77,954,533,278,456,81
1990,37155,16218,18885,1416,289,347,4957,14781,8087,4299,4980,26299,10175,245,424,3762,,,,,31736,5419,,912,106,699,467,4829,422,258,59,336,2411,1284,56,165,1510,732,225,289,641,1050,114,742,308,1415,374,544,865,151,160,286,97,447,255,2418,1181,47,1178,498,379,1387,66,633,68,971,3479,201,59,981,536,257,517,90
1991,38317,17746,18526,1441,240,364,5356,15414,8317,4263,4916,26455,11025,285,536,4205,,,,,32882,5435,,928,98,696,483,5064,429,287,53,344,2323,1377,57,145,1574,722,241,344,605,1101,123,708,307,1498,351,614,942,144,169,333,83,428,288,2515,1265,45,1284,503,367,1302,55,619,75,1003,3727,214,82,984,550,292,491,85
1992,37776,17488,18169,1409,302,408,5379,15078,8338,4165,4789,26120,10906,232,518,4325,,,,,32425,5351,,873,97,745,464,5226,498,271,57,341,2207,1242,55,161,1553,772,213,334,576,1079,125,752,290,1386,360,609,864,124,160,338,95,416,293,2446,1216,56,1232,519,420,1317,47,701,54,985,3466,195,75,1014,593,297,484,83
1993,39595,18253,18940,1521,318,563,5751,15801,8738,4336,4935,26948,11763,278,606,4399,,,,,33711,5884,,943,123,811,482,5500,544,304,64,357,2292,1338,51,166,1652,815,209,378,639,1228,114,797,282,1454,340,668,960,144,158,382,96,451,279,2422,1293,62,1239,599,392,1467,59,655,104,1016,3458,197,82,971,624,324,514,96
1994,38505,17527,18765,1356,339,518,5833,15169,8711,4028,4734,26403,11223,313,566,4383,,,,,33021,5484,,945,137,902,502,5191,511,299,66,283,2216,1271,79,168,1598,808,225,340,606,1225,119,777,309,1400,354,647,993,151,154,374,94,435,324,2100,1281,57,1175,543,447,1319,56,653,85,980,3405,224,44,1032,681,296,525,99
1995,35957,15551,18503,1225,284,394,5285,13571,8243,4052,4776,25438,9643,304,572,4204,,,,,30724,5233,,931,122,986,510,4805,505,255,60,269,2160,1182,75,175,1456,828,218,326,560,1087,109,760,277,1289,394,604,842,161,169,398,90,465,299,1638,1169,69,1055,528,433,1401,62,530,71,980,2853,225,62,956,664,304,518,72
1996,34040,14037,18166,1134,290,413,4643,12219,8353,4087,4710,24114,9175,260,491,3638,,,,,29183,4857,,870,123,833,430,4088,536,247,85,267,2074,1249,48,166,1418,805,225,326,543,1052,123,764,234,1241,377,561,858,156,160,359,97,395,324,1428,1176,55,1008,521,427,1331,52,630,83,963,2616,213,56,970,616,276,500,85
1997,32436,13252,17566,981,270,367,4223,11625,8028,4036,4497,23270,8389,267,510,3331,,,,,27756,4680,,848,127,853,474,3863,465,188,51,220,1979,1168,58,182,1290,814,251,304,570,970,94,710,218,1144,346,606,795,151,144,389,85,402,286,1234,1103,53,966,529,428,1390,41,558,85,1024,2443,209,55,902,606,257,422,86
1998,30708,11798,17424,866,304,316,3792,10549,7844,3983,4514,22480,7503,276,449,3085,,,,,26189,4519,,819,118,887,439,3402,449,190,54,166,1902,1086,40,160,1324,764,195,327,587,833,122,677,220,1097,306,495,730,118,162,369,88,392,288,1109,1064,46,969,456,442,1247,38,595,78,941,2438,242,63,872,545,235,451,71
1999,28874,10828,16599,824,299,324,3385,9874,7330,3932,4333,21143,7017,268,446,2878,,23452,5422,,24700,4174,,790,88,822,388,3054,452,199,68,163,1721,1105,42,151,1209,680,202,269,525,779,113,657,195,1085,296,515,711,123,146,375,71,366,290,1016,1057,49,939,509,389,1190,56,552,73,848,2117,192,57,823,585,250,448,74
2000,28663,10801,16586,776,270,230,3042,9758,7504,4077,4264,20945,7054,240,424,2891,,23127,5536,,24582,4081,,766,116,796,416,3108,443,179,52,149,1692,1096,52,127,1130,666,190,299,542,790,112,617,176,1071,312,471,742,134,168,341,79,341,291,1093,1113,43,890,454,378,1256,54,499,56,898,2168,193,55,794,523,242,432,58
2001,29573,11348,16869,802,323,231,2937,10301,7491,4461,4364,21760,7184,240,389,3087,,24042,5531,,25480,4093,,737,95,842,412,3200,510,191,76,169,1816,1124,47,175,1289,729,191,267,524,781,98,607,194,1077,324,502,744,160,140,345,91,370,274,1068,1093,47,1029,489,358,1172,46,564,54,845,2350,229,51,771,510,251,475,70
2002,30242,11829,17108,762,300,243,2893,10446,7804,4682,4402,21902,7623,287,430,3143,,24616,5626,,26098,4144,,724,127,968,441,3410,517,147,74,195,1886,1133,36,163,1231,723,201,268,544,876,88,615,204,1092,306,492,696,134,140,370,76,415,304,994,1136,58,1069,452,374,1220,55,566,61,905,2301,207,62,806,568,271,446,95
2003,30136,11920,16907,730,347,232,2849,10565,7593,4879,4232,21763,7659,269,445,3319,,24626,5510,,26124,4012,,765,120,849,413,3468,501,153,65,167,1940,1173,37,164,1146,696,208,304,560,847,82,648,204,1030,332,477,657,145,134,374,89,458,326,1034,1055,58,934,449,395,1230,35,593,76,837,2432,230,48,811,565,265,468,89
2004,29569,11624,16750,649,311,235,2852,10067,7485,4948,4190,21442,7448,281,398,3278,,24102,5467,,25498,4071,,679,117,897,406,3316,553,173,75,143,1890,1062,41,177,994,639,195,294,551,902,108,656,206,1048,363,471,664,125,119,392,69,454,289,951,1055,50,1036,457,385,1270,41,574,77,869,2342,225,61,817,569,253,413,56
2005,30694,12352,17002,789,330,221,3027,10500,7673,5159,4325,21958,7984,305,447,3469,,25089,5605,,26657,4037,,736,116,934,439,3453,535,187,75,154,1838,1064,28,195,1019,705,201,257,548,858,109,657,224,1074,361,455,752,161,135,390,88,434,267,1019,1119,61,1116,468,402,1352,39,589,82,976,2490,227,44,888,567,261,474,71
2006,30896,12791,16883,642,360,220,3218,10535,7587,5364,4183,21721,8409,291,475,3464,,25444,5452,,26712,4184,,780,111,982,426,3363,497,173,79,134,2083,1144,33,180,1036,742,193,299,531,831,105,678,211,1157,329,475,767,120,141,405,82,492,283,1002,1133,46,1114,482,384,1371,47,616,77,943,2422,224,54,816,546,253,424,80
2007,31224,12632,17352,613,351,276,3067,10535,7673,5646,4292,22296,8242,246,440,3492,,25715,5509,,27047,4177,,812,120,951,426,3268,505,149,79,144,2272,1244,36,187,1032,670,157,292,612,869,107,678,235,1095,344,535,759,139,142,414,78,446,295,985,1116,57,1105,482,387,1325,37,592,52,924,2561,253,52,825,548,267,488,76
2008,31593,12179,18223,592,326,273,2966,10297,7641,6119,4566,23065,7847,279,402,3256,,25827,5766,,27336,4257,,820,142,907,444,3171,513,200,95,137,2334,1177,41,175,1105,723,224,277,576,822,122,665,224,1081,371,568,818,155,150,404,93,429,294,963,1160,59,1115,513,385,1345,44,615,83,985,2598,238,54,817,587,239,443,93
2009,31347,11493,18735,554,333,232,2811,9757,7558,6490,4723,23163,7455,291,438,3202,,25416,5931,,26921,4426,,830,104,856,465,3094,583,173,76,111,2324,1247,47,196,1058,735,193,303,560,810,122,586,207,1095,336,487,822,166,132,406,89,411,299,958,1112,59,991,533,417,1349,56,634,75,966,2691,260,60,836,623,251,457,96
2010,31672,11078,19392,606,344,252,2711,10042,7485,6724,4703,23490,7454,317,411,3008,,25621,6051,,27356,4316,,782,144,931,419,2935,555,209,88,99,2268,1223,45,198,1064,709,213,300,555,864,113,538,270,1076,365,475,846,164,152,395,118,456,301,1011,1123,65,1148,538,458,1307,49,648,75,932,2714,314,70,875,609,273,501,92
2011,32351,11068,19990,591,454,248,2703,10250,7400,6994,4999,24092,7525,305,429,2947,,26254,6097,,27738,4613,,785,126,964,462,3004,573,210,77,86,2378,1232,49,192,1114,638,220,329,617,865,136,542,254,1156,396,530,854,167,161,376,92,482,306,997,1154,61,1227,628,420,1438,33,705,71,948,2599,308,78,868,624,278,445,96
2012,33563,11622,20666,548,471,256,2694,10632,7582,7382,5270,24727,8021,337,478,3061,,27389,6174,,28838,4725,,831,132,946,490,3068,672,227,96,68,2473,1286,51,207,1178,800,217,377,655,845,130,589,233,1222,382,535,882,171,167,360,117,444,323,977,1175,73,1263,619,443,1453,42,743,84,995,2743,324,56,840,681,278,483,117
2013,33636,11208,21175,505,467,281,2465,10680,7538,7369,5573,25044,7797,326,469,2951,,27209,6427,,28794,4842,,860,144,941,501,3026,619,161,100,71,2442,1262,38,227,1117,857,253,331,622,886,158,578,213,1190,427,525,880,172,168,395,93,506,326,863,1223,86,1289,632,462,1451,56,745,80,1030,2778,339,65,864,632,280,570,102
2014,33594,11008,21386,461,464,275,2548,10427,7401,7350,5864,25089,7735,335,435,3010,,27249,6345,,28715,4879,,815,145,927,496,2942,663,187,102,86,2410,1391,40,213,1179,818,241,329,634,896,133,546,226,1095,377,547,943,172,179,429,122,468,340,875,1206,96,1211,611,497,1390,34,767,89,1016,2848,337,69,889,702,286,487,93
2015,36252,12979,22018,489,484,282,2824,11908,7846,7618,6052,26288,9047,383,534,3332,,29473,6779,,31032,5220,,958,177,970,520,3095,701,189,112,120,2559,1448,55,247,1220,846,247,330,694,952,144,708,213,1164,410,589,1094,205,169,446,121,475,390,849,1289,92,1397,706,486,1485,51,850,96,1075,3203,367,70,946,718,278,613,113
2016,38658,14415,22938,495,510,300,3155,12966,8492,7775,6266,27501,10101,444,612,3771,,31695,6963,,32994,5664,,1046,177,1094,541,3184,812,172,111,107,2704,1571,66,242,1490,997,288,383,772,987,123,707,242,1230,432,587,1144,194,171,498,132,485,383,900,1409,90,1524,766,513,1555,49,891,108,1148,3353,370,78,1049,686,332,664,101
2017,39773,14542,23854,486,553,338,3443,13125,8659,7972,6572,28424,10295,444,610,3884,,32562,7211,,34062,5711,,1124,180,1134,613,3184,779,188,111,100,2724,1623,39,280,1543,1016,293,466,730,1008,172,742,262,1138,465,632,1307,244,160,508,146,478,394,772,1430,103,1589,681,528,1636,43,893,101,1246,3513,410,70,1041,849,348,624,113
2018,39740,13958,24432,458,539,353,3342,12704,8697,8006,6990,28663,9959,477,641,4018,,32443,7297,,33955,5785,,1064,155,1147,573,3040,889,186,107,125,2902,1680,59,294,1382,977,282,424,762,991,159,707,258,1310,437,681,1311,186,183,550,155,420,438,821,1416,89,1555,665,519,1654,37,895,117,1228,3522,397,82,1035,809,343,598,124
2019,39707,14414,23941,486,520,346,3390,12880,8767,7702,6965,27826,10430,366,593,4058,,32478,7229,,34041,5666,,1076,179,1136,580,2945,846,190,93,141,2872,1695,62,255,1367,958,294,403,682,1013,163,757,247,1220,465,710,1252,209,205,490,156,368,471,804,1397,93,1578,737,566,1541,48,1012,113,1270,3683,394,67,1025,842,300,604,133
